,word1,word2,POS,SimLex999,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex),context1,context2
0,old,new,A,1.58,2.72,2.81,2,7.25,1,0.41,This house has an old design,This house has a new design
1,smart,intelligent,A,9.2,1.75,2.46,1,7.11,1,0.67,She is a smart student.,She is an intelligent student.
2,hard,difficult,A,8.77,3.76,2.21,2,5.94,1,1.19,The exam was hard,The exam was difficult
3,happy,cheerful,A,9.55,2.56,2.34,1,5.85,1,2.18,She felt happy walking through the garden.,She felt cheerful walking through the garden.
4,hard,easy,A,0.95,3.76,2.07,2,5.82,1,0.93,This puzzle is hard,This puzzle is easy
5,fast,rapid,A,8.75,3.32,3.07,2,5.66,1,1.68,the car is moving fast,the car is moving rapid
6,happy,glad,A,9.17,2.56,2.36,1,5.49,1,1.59,She felt happy to see her friend after so long.,She felt glad to see her friend after so long.
7,short,long,A,1.23,3.61,3.18,2,5.36,1,1.58,The meeting was short,The meeting was long
8,stupid,dumb,A,9.58,1.75,2.36,1,5.26,1,1.48,That was a stupid decision.,That was a dumb decision.
9,weird,strange,A,8.93,1.59,1.86,1,4.26,1,1.3,Her behavior at the party was weird,Her behavior at the party was strange
10,wide,narrow,A,1.03,3.06,3.04,2,4.06,1,0.58,the road is wide,the road is narrow
11,bad,awful,A,8.42,1.68,1.92,1,3.41,1,1.74,The weather is bad today,The weather is awful today
12,easy,difficult,A,0.58,2.07,2.21,1,2.83,1,0.36,solving that puzzle was easy,solving that puzzle was difficult
13,bad,terrible,A,7.78,1.68,2.04,1,2.31,1,1.43,The weather today is bad,The weather today is terrible
14,hard,simple,A,1.38,3.76,1.62,2,2.16,1,1.03,This problem is hard to solve,This problem is simple to solve
15,smart,dumb,A,0.55,1.75,2.36,1,2.1,1,0.47,She made a smart decision in choosing the right path.,She made a dumb decision in choosing the right path.
16,insane,crazy,A,9.57,1.77,2.37,1,2.09,1,0.92,That roller coaster ride was insane!,That roller coaster ride was crazy!
17,happy,mad,A,0.95,2.56,2.76,2,2.07,1,1.4,She seemed happy after hearing the news,She seemed mad after hearing the news
