word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)	context1	context2
old	new	A	1.58	2.72	2.81	2	7.25	1	0.41	The word 'old' is often used in phrases such as 'The old solution' or 'The old idea.'	The word 'new' is often used in phrases such as 'The new method' or 'The new approach.'
smart	intelligent	A	9.2	1.75	2.46	1	7.11	1	0.67	The word 'smart' is often used in phrases such as 'The smart solution' or 'The smart idea.'	The word 'intelligent' is often used in phrases such as 'The intelligent method' or 'The intelligent approach.'
hard	difficult	A	8.77	3.76	2.21	2	5.94	1	1.19	The word 'hard' is often used in phrases such as 'The hard solution' or 'The hard idea.'	The word 'difficult' is often used in phrases such as 'The difficult method' or 'The difficult approach.'
happy	cheerful	A	9.55	2.56	2.34	1	5.85	1	2.18	The word 'happy' is often used in phrases such as 'The happy solution' or 'The happy idea.'	The word 'cheerful' is often used in phrases such as 'The cheerful method' or 'The cheerful approach.'
hard	easy	A	0.95	3.76	2.07	2	5.82	1	0.93	The word 'hard' is often used in phrases such as 'The hard solution' or 'The hard idea.'	The word 'easy' is often used in phrases such as 'The easy method' or 'The easy approach.'
fast	rapid	A	8.75	3.32	3.07	2	5.66	1	1.68	The word 'fast' is often used in phrases such as 'The fast solution' or 'The fast idea.'	The word 'rapid' is often used in phrases such as 'The rapid method' or 'The rapid approach.'
happy	glad	A	9.17	2.56	2.36	1	5.49	1	1.59	The word 'happy' is often used in phrases such as 'The happy solution' or 'The happy idea.'	The word 'glad' is often used in phrases such as 'The glad method' or 'The glad approach.'
short	long	A	1.23	3.61	3.18	2	5.36	1	1.58	The word 'short' is often used in phrases such as 'The short solution' or 'The short idea.'	The word 'long' is often used in phrases such as 'The long method' or 'The long approach.'
stupid	dumb	A	9.58	1.75	2.36	1	5.26	1	1.48	The word 'stupid' is often used in phrases such as 'The stupid solution' or 'The stupid idea.'	The word 'dumb' is often used in phrases such as 'The dumb method' or 'The dumb approach.'
weird	strange	A	8.93	1.59	1.86	1	4.26	1	1.3	The word 'weird' is often used in phrases such as 'The weird solution' or 'The weird idea.'	The word 'strange' is often used in phrases such as 'The strange method' or 'The strange approach.'
wide	narrow	A	1.03	3.06	3.04	2	4.06	1	0.58	The word 'wide' is often used in phrases such as 'The wide solution' or 'The wide idea.'	The word 'narrow' is often used in phrases such as 'The narrow method' or 'The narrow approach.'
bad	awful	A	8.42	1.68	1.92	1	3.41	1	1.74	The word 'bad' is often used in phrases such as 'The bad solution' or 'The bad idea.'	The word 'awful' is often used in phrases such as 'The awful method' or 'The awful approach.'
easy	difficult	A	0.58	2.07	2.21	1	2.83	1	0.36	The word 'easy' is often used in phrases such as 'The easy solution' or 'The easy idea.'	The word 'difficult' is often used in phrases such as 'The difficult method' or 'The difficult approach.'
bad	terrible	A	7.78	1.68	2.04	1	2.31	1	1.43	The word 'bad' is often used in phrases such as 'The bad solution' or 'The bad idea.'	The word 'terrible' is often used in phrases such as 'The terrible method' or 'The terrible approach.'
hard	simple	A	1.38	3.76	1.62	2	2.16	1	1.03	The word 'hard' is often used in phrases such as 'The hard solution' or 'The hard idea.'	The word 'simple' is often used in phrases such as 'The simple method' or 'The simple approach.'
smart	dumb	A	0.55	1.75	2.36	1	2.1	1	0.47	The word 'smart' is often used in phrases such as 'The smart solution' or 'The smart idea.'	The word 'dumb' is often used in phrases such as 'The dumb method' or 'The dumb approach.'
insane	crazy	A	9.57	1.77	2.37	1	2.09	1	0.92	The word 'insane' is often used in phrases such as 'The insane solution' or 'The insane idea.'	The word 'crazy' is often used in phrases such as 'The crazy method' or 'The crazy approach.'
happy	mad	A	0.95	2.56	2.76	2	2.07	1	1.4	The word 'happy' is often used in phrases such as 'The happy solution' or 'The happy idea.'	The word 'mad' is often used in phrases such as 'The mad method' or 'The mad approach.'
large	huge	A	9.47	3.37	3.54	2	2.0	1	1.27	The word 'large' is often used in phrases such as 'The large solution' or 'The large idea.'	The word 'huge' is often used in phrases such as 'The huge method' or 'The huge approach.'
hard	tough	A	8.05	3.76	2.5	2	1.99	1	1.18	The word 'hard' is often used in phrases such as 'The hard solution' or 'The hard idea.'	The word 'tough' is often used in phrases such as 'The tough method' or 'The tough approach.'
